ID,LAT,LON,REGION,SUBREGION,COUNTRY,LOCATION,MONTH,YEAR,DEPTH,SEVERITY,BLEACHING,SURVEY_TYP,WATER_TEMP,SOURCE,REFERENCE,COUNTRY
"29,353",-2.94,135.66,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",5m,0,No Bleaching,,"Air temperature 30 Deg C, water temperature 31 Deg C",Reef Check submitted by Miriam Reininger,,IDN
"29,354",-2.941,135.66,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",12m,0,No Bleaching,,"Air temperature  30 Deg C, Water temperature 31 Deg C",Reef Check submitted by Miriam Reininger,,IDN
"29,355",-3.1,135.62,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",5 M,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 31",Reef Check submitted by Miriam Reininger,,IDN
"29,356",-3.1,135.62,Asia,Southeast Asia,Indonesia,"Nabire, Papua",7,"2,010",12m,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 31 Deg C",Reef Check submitted by Miriam Reininger,,IDN
"7,210",1.05,104.71,Asia,Southeast Asia,Indonesia,Nikoi Island,7,"2,010",,-1,Severity Unknown,,,"Mr Andrew Dixon,  Nikoi island, Tanjung Pinang,Indonesia",,IDN
"29,411",2.495,104.487,Asia,Southeast Asia,Malaysia,Aur islands,5,"2,010",5m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Julian hyde,,MYS
"29,412",2.459,104.487,Asia,Southeast Asia,Malaysia,Aur islands,5,"2,010",10m,0,No Bleaching,Reef Check survey,,Reef check submitted by Julian hyde,,MYS
"6,781",4.3431,113.89844,Asia,Southeast Asia,Malaysia,Eve's Garden,5,"2,010",6m,1,Low,Reef Check survey,31 Celcius,Peter Heyes (pjheyes@gmail.com),,MYS
"29,382",6.5,117.9,Asia,Southeast Asia,Malaysia,lankayan,7,"2,010",5m 30s,0,No Bleaching,,,Reef Check submitted by julian Hyde,,MYS
"29,384",6.5,117.9,Asia,Southeast Asia,Malaysia,Lankayan,7,"2,010",5m,0,No Bleaching,,,Reef Check submitted by Julian Hyde,,MYS
"29,385",6.5,117.9,Asia,Southeast Asia,Malaysia,lankayan,8,"2,010",10,0,No Bleaching,,,Reef Check submitted by Julian Hyde,,MYS
"29,383",6.5,117.9,Asia,Southeast Asia,Malaysia,Lankayan islands,5,"2,010",9m,0,No Bleaching,,,Reef Check submitted by Julian Hydes,,MYS
"29,377",5.2,103.268,Asia,Southeast Asia,Malaysia,Marang,9,"2,010",5m,0,No Bleaching,,"Air  temperature 33 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,370",5.23,103.26,Asia,Southeast Asia,Malaysia,Marang,9,"2,010",8m 30s,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,371",5.23,103.26,Asia,Southeast Asia,Malaysia,Marang,9,"2,010",8m 30s,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,372",5.226,103.269,Asia,Southeast Asia,Malaysia,Marang,9,"2,010",8m,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,366",4.34,113.897,Asia,Southeast Asia,Malaysia,Miri,4,"2,010",6m,0,No Bleaching,,"Air temperature 32 Deg C, water tempereture 30 Deg C",Reef Check submitted by Peter Heyes,,MYS
"29,367",4.27,113.814,Asia,Southeast Asia,Malaysia,Miri,4,"2,010",9m,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 30 Deg C",Reef Check submitted by Peter Heyes,,MYS
"29,368",4.293,113.826,Asia,Southeast Asia,Malaysia,Miri,3,"2,010",12 meter,0,No Bleaching,,"Air temperature 32 Deg C, wter temperature 29 Deg C",Reef Check submitted by Peter Heyes,,MYS
"29,369",4.293,113.826,Asia,Southeast Asia,Malaysia,Miri,5,"2,010",12m,0,No Bleaching,,"Air temperature 32 Deg C, Water temperature 30 Deg C",Reef Check submitted by Peter Heyes,,MYS
"29,388",4.273,114.814,Asia,Southeast Asia,Malaysia,Miri,2,"2,010",8m,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 27 deg C",Reef Check submitted by Peter Heyes,,MYS
"29,389",4.275,114.817,Asia,Southeast Asia,Malaysia,Miri,2,"2,010",10m,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 27 Deg C",Reef Check submitted by Peter Heyes,,MYS
"29,300",4.27,113.81,Asia,Southeast Asia,Malaysia,Miri Sarawak,6,"2,010",10m,-1,Severity Unknown,,Air temperature : 31 Deg C and water temperature 30 Deg C,"Reef Check, Submitted by Peter Heyes, Reef ID : 113.49.0E.4.16.35N",,MYS
"6,893",4.34,113.9,Asia,Southeast Asia,Malaysia,Miri Sarawak,4,"2,010",6,-1,Severity Unknown,Reef Check protocol,"Air temp 32 deg C, Water temp 30 deg C","Reef Check, Submitted by Peter Heyes. Site ID : 113.53.51E.4.20.36N",,MYS
"6,897",4.27,113.81,Asia,Southeast Asia,Malaysia,Miri sarawak,1,"2,010",8,3,HIGH,Reef Check protocol,"Air temp 32 Deg C, Water temp 29 Deg C","Reef Check, Submitted byPeter Heyes. Site ID : 114.48.52E.4.16.25N",,MYS
"6,898",4.27,113.81,Asia,Southeast Asia,Malaysia,Miri Sarawak,7,"2,010",8m,-1,Severity Unknown,Reef check protocol,"Air temp : 31 Deg C, water temp : 30 Deg C","Reef Check, Submitted by Peter Heyes. Site ID 113.48.53E.4.16.23N",,MYS
"6,900",4.28,113.82,Asia,Southeast Asia,Malaysia,Miri Sarawak,6,"2,010",10,-1,Severity Unknown,Reef check protocol,"Air temp : 31 deg C, water temp 30 deg C","Reef Check, Submitted by Peter Heyes. Site ID : 113.49.0E.4.16.35N",,MYS
"6,901",4.29,113.82,Asia,Southeast Asia,Malaysia,Miri Sarawak,7,"2,010",11,-1,Severity Unknown,Reef  Check protocol,"Air temp 31 Deg C, water temp 30 Deg C","Reef Check, Submitted by Peter Heyes. Site ID : 113.49.11E.4.17.14N",,MYS
"6,902",4.34,113.9,Asia,Southeast Asia,Malaysia,Miri Sarawak,5,"2,010",6,-1,Severity Unknown,Reef check protocol,"Air temp 32 Deg C, water temp 31 Deg C","Reef Check, Submitted by Peter Heyes. Site ID ; 113.53.51E.4.20.36N",,MYS
"6,903",4.27,113.81,Asia,Southeast Asia,Malaysia,Miri Sarawak,6,"2,010",9,-1,Severity Unknown,Reef Check Protocol,"Air temp 32 Deg C, water temp 30 deg C","Reef Check, Submitted by Peter Heyes. Site ID : 113.48.53E.4.16.23N",,MYS
"29,295",4.27,114.81,Asia,Southeast Asia,Malaysia,Miri Sarawak,1,"2,010",8m,-1,Severity Unknown,,"Air : 32 Deg C, water 28 Degree C","Reef Check, submitted by Peter Heyes. Reef ID: 114.48.52E.4.16.25N",,MYS
"29,303",4.34,113.89,Asia,Southeast Asia,Malaysia,Miri sarawak,5,"2,010",6 meter,-1,Severity Unknown,,"Air temp 32 Deg C, water temp 31 deg C","Reef Check, submitted by Peter Heyes, Reef ID: 113.53.51E.4.20.36N",,MYS
"29,304",4.27,113.81,Asia,Southeast Asia,Malaysia,Miri Sarawak,5,"2,010",9 meter,-1,Severity Unknown,,Air temp 32 deg C and water temp 30 Deg C,"Reef Check, submitted by Peter Heyes. Reef ID: 113.48.53E.4.16.23N",,MYS
"29,294",4.29,113.81,Asia,Southeast Asia,Malaysia,"Miri,  sarawak",3,"2,010",11m,-1,Severity Unknown,,"Air temperature : 32, Water temperature : 30 Degree C","Reef Check, submitted by Peter Heyes. Reef ID : 113.49.33E.4.17.33N",,MYS
"29,298",4.292,113.82,Asia,Southeast Asia,Malaysia,"Miri, sarawak",7,"2,010",11m,-1,Severity Unknown,,Air temp : 31 Deg C Water temp 30 Deg C,Reef Check submitted by Peter heyes. Reef ID113.49.33E.4.17.33N,,MYS
"29,299",4.34,113.89,Asia,Southeast Asia,Malaysia,"Miri, sarawak",7,"2,010",6 meter,-1,Severity Unknown,,"Air temp : 32 Deg C, water temp 30 Deg C","Reef Check submitted by Peter Heyes, Reef ID : 113.53.51E.4.20.36N",,MYS
"29,305",4.28,113.81,Asia,Southeast Asia,Malaysia,"Miri, sarawak",5,"2,010",11 meter,-1,Severity Unknown,,"Air temperature ; 32 Deg C, water temperature 30 Deg C","ReefCheck, submitted by Peter Heyes. Reef ID: 113.49.11E.4.17.14N",,MYS
"6,904",4.29,113.82,Asia,Southeast Asia,Malaysia,"Miri, sarawak",5,"2,010",11,-1,Severity Unknown,Reef Check protocol,"Air temp 32 Deg C, Water temp 30 Deg C","Reef Check, submitted by Peter heyes. Site ID : 113.49.11E.4.17.14N",,MYS
"6,883",4.29,113.83,Asia,Southeast Asia,Malaysia,"Miri, Sarawak",6,"2,010",11,-1,Severity Unknown,Reef Check protocol,"Air temp -  31 Deg C, water temp - 30 deg C","Reef Check, submitted by Peter Heyes ( Site ID: 113.49.33E.4.17.33N )",,MYS
"6,884",4.27,113.81,Asia,Southeast Asia,Malaysia,"Miri, Sarawak",7,"2,010",8,3,HIGH,Reef Check Protocol,"Air temp - 31 Deg C, water temp 30 deg C","Reef Check, submitted by Peter Heyes ( Site ID : 113.48.53E.4.16.23N)",,MYS
"6,885",4.27,113.81,Asia,Southeast Asia,Malaysia,"Miri, Sarawak",6,"2,010",9,3,HIGH,Reef check protocol,"air temp 31 deg C, water temp 30 deg C","Reef Check, submitted by Peter Heyes. ( Site ID 113.48.53E.4.16.23N)",,MYS
"6,892",4.29,113.83,Asia,Southeast Asia,Malaysia,"Miri, Sarawak",4,"2,010",11,-1,Severity Unknown,Reef Check Protocol,"Air temp 32 Deg C, water temp 30 deg C","Reef Check, Submitted by  Peter Heyes, [Site ID :113.49.33E.4.17.33N]",,MYS
"29,301",4.287,113.81,Asia,Southeast Asia,Malaysia,"Miri, sarawak",7,"2,010",11m,-1,Severity Unknown,,Air temp 31 deg C and water temp 30 Deg C,"Reef Check, submitted by Peter Heyes. Reef ID 113.49.11E.4.17.14N",,MYS
"29,365",4.287,113.819,Asia,Southeast Asia,Malaysia,"Miri, Sarawak",4,"2,010",11m,0,No Bleaching,,,Reef Check submitted by Peter Heyes,,MYS
"6,899",4.34,113.9,Asia,Southeast Asia,Malaysia,"Mirii, Sarawak",7,"2,010",6,-1,Severity Unknown,Reef Check Protocol,"Air temp ; 32 Deg c, Water temp : 30 Deg C","Reef Check, Submitted by Peter Heyes. Site ID : 113.53.51E.4.20.36N",,MYS
"29,402",5.952,102.708,Asia,Southeast Asia,Malaysia,Perhentian Islands,9,"2,010",5m,0,No Bleaching,Reef Check survey,,Reefcheck submitted by Julian Hyde,,MYS
"29,403",5.952,102.708,Asia,Southeast Asia,Malaysia,perhentian Islands,9,"2,010",5m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Julian Hyde,,MYS
"29,404",5.923,102.758,Asia,Southeast Asia,Malaysia,Perhentian islands,9,"2,010",5m,0,No Bleaching,Reef Check survey,,Reef check submitted by Julian hyde,,MYS
"29,405",5.916,102.753,Asia,Southeast Asia,Malaysia,Perhentian islands,9,"2,010",9m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Julian hyde,,MYS
"29,378",6.48,117.911,Asia,Southeast Asia,Malaysia,Sandakan,9,"2,010",14m 6s,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,379",6.5,117.92,Asia,Southeast Asia,Malaysia,sandakan,8,"2,010",12m 12s,0,No Bleaching,,,Reef Check submitted by Julian Hyde,,MYS
"29,380",6.48,117.89,Asia,Southeast Asia,Malaysia,Sandakan,6,"2,010",13.1,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 30 drg C",Reef Check submitted by Julian Hyde,,MYS
"29,381",6.55,117.922,Asia,Southeast Asia,Malaysia,sandakan,8,"2,010",10m 42s,0,No Bleaching,,"Air temperature 32 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,386",6.52,117.929,Asia,Southeast Asia,Malaysia,Sandakan,7,"2,010",14m,0,No Bleaching,,"Air temperature 32 Deg C, water tepmperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,387",6.513,117.905,Asia,Southeast Asia,Malaysia,sandakan,6,"2,010",14m 30s,0,No Bleaching,,"Air temperature 32 Drg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,392",4.229,118.68,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",10m,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,393",4.225,118.685,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,394",4.226,118.684,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",4m,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef check submitted by Julian Hyde,,MYS
"29,395",4.312,118.876,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,Reef Check survey,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,396",4.21,118.678,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,Reef Check survey,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef Check submitted by Julian hyde,,MYS
"29,397",4.477,118.945,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",7m,0,No Bleaching,Reef Check survey,"Air temperature 32 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,398",4.57,118.956,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,Reef Check survey,"Air temperature 31  deg C, water temperature 31 Deg c",Reef check submitted by Julian  Hyde,,MYS
"29,399",4.582,118.9145,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",10m,0,No Bleaching,Reef Check survey,"Air temperature 310 deg C, water tremperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,400",4.587,118.945,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,reefcheck survey,"Air temperature 32 deg c, water temperature 31 deg c",Reefcheck submitted by Julian Hyde,,MYS
"29,401",4.557,118.924,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",5m,0,No Bleaching,Reef Check survey,"Air temperature 31 Deg C, water temperature 31 deg C",Reef Check submitted by Julian Hyde,,MYS
"29,390",4.577,118.947,Asia,Southeast Asia,Malaysia,Semporna,6,"2,010",10m,0,No Bleaching,,,Reef Check submitted by Julian Hyde,,MYS
"29,391",4.308,118.866,Asia,Southeast Asia,Malaysia,"Semporna, sabah",6,"2,010",5m,0,No Bleaching,,"Air temperature 33 Deg C, water temperature 30 Deg C",Reef check submitetd by Julian Hyde,,MYS
"29,407",2.816,104.15,Asia,Southeast Asia,Malaysia,Tioman,4,"2,010",9m 12s,0,No Bleaching,Reef Check survey,,Reef Check submitted by Julian Hyde,,MYS
"29,375",2.89,104.123,Asia,Southeast Asia,Malaysia,Tioman,9,"2,010",6m 30s,0,No Bleaching,,"Air tempertaure 32 Deg C, water temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,373",2.9,104.113,Asia,Southeast Asia,Malaysia,Tioman,9,"2,010",6m 30s,0,No Bleaching,,"Air temperature 32 Deg C, Aater temperature 31 Deg C",Reef Check submitted by Julian Hyde,,MYS
"29,374",2.8,104.135,Asia,Southeast Asia,Malaysia,Tioman islands,4,"2,010",6m,0,No Bleaching,,,Reef check submitted by Julain Hyde,,MYS
"29,376",2.79,104.123,Asia,Southeast Asia,Malaysia,Tioman islands,4,"2,010",6m,0,No Bleaching,,,Reef Check submitted by Julian Hyde,,MYS
"29,409",2.876,104.148,Asia,Southeast Asia,Malaysia,Tioman Islands,4,"2,010",4m,0,No Bleaching,Reef Check survey,,Reef check submitted by Julian Hyde,,MYS
"29,406",2.824,104.157,Asia,Southeast Asia,Malaysia,Tioman islands,7,"2,010",6m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Julian hyde,,MYS
"29,318",10.066,125.134,Asia,Southeast Asia,Philippines,,7,"2,010",12m,-1,Severity Unknown,,Water temperature : 27 Deg C,"Reef Check , submitted by Jan Willem van Bochove. Reef ID:125.08.04E.10.04.01N",,PHL
"29,321",10.06,125.13,Asia,Southeast Asia,Philippines,,8,"2,010",12m,-1,Severity Unknown,,,"Reef Check , submitted by Jan Willem van Bochove. Reef ID:125.08.04E.10.04.01N",,PHL
"29,323",10.06,125.135,Asia,Southeast Asia,Philippines,,8,"2,010",12m,-1,Severity Unknown,,Air temperture : 30 Deg C; Water tempertaure : 30 Deg C,"Reef Check , submitted by Jan Willem van Bochove. Reef ID:125.8.7E.10.3.53N",,PHL
"29,418",10.157,125.137,Asia,Southeast Asia,Philippines,"Liloan, Southern leyte",8,"2,010",6m,0,No Bleaching,Reef Check survey,Air temperature and water temperature = 31 Deg c,Reef Check submitted by Jan Willem Van Bochove,,PHL
"29,419",10.157,125.137,Asia,Southeast Asia,Philippines,"Liloan, Southern Leyte",8,"2,010",9m,0,No Bleaching,Reef Check survey,"Air temperature 30 Derg C, water temperature 30 Deg C",Reef Check submitted by Jan Willem Van Bochove,,PHL
"29,413",13.69,120.889,Asia,Southeast Asia,Philippines,"mabini, batangas",2,"2,010",5m,0,No Bleaching,Reef check survey,,Reef Check submitted by Al Licuana,,PHL
"29,414",13.728,120.883,Asia,Southeast Asia,Philippines,"Mabini, Batangas",2,"2,010",5m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Al Licuanan,,PHL
"29,416",13.704,120.875,Asia,Southeast Asia,Philippines,"Mabini, Batangas",4,"2,010",5m,0,No Bleaching,Reef Check survey,,Reef check submiteed by Al Licuanan,,PHL
"29,417",13.717,120.875,Asia,Southeast Asia,Philippines,"Mabini, Batangas",4,"2,010",,0,No Bleaching,Reef Check survey,,Reef Check submitted Al Licuanan,,PHL
"29,415",10.064,125.134,Asia,Southeast Asia,Philippines,"San Francisco, Southern Leyte",1,"2,010",9m,0,No Bleaching,Reef Check survey,,Reef Check submitted by Jan Willem van Bochove,,PHL
"29,420",10.06,125.133,Asia,Southeast Asia,Philippines,"San fransisco, Southern leyte",5,"2,010",12,0,No Bleaching,Reef Check survey,Water temperature 29 Deg C,Reef Check submitted by  jan Willem van Bochove,,PHL
"29,421",10.06,125.133,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",5,"2,010",12m,0,No Bleaching,Reef Check survey,Water temperature 28 deg C,Reef Check submitted by Jan Willem van Bochove,,PHL
"29,422",10.06,125.134,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",9,"2,010",12m,0,No Bleaching,Reef Check survey,"Air temperature 30 Deg C, water temperature 31 Deg c",Reef Check submitted by Jan Willem van bochove,,PHL
"29,423",10.06,125.134,Asia,Southeast Asia,Philippines,"san fransisco, southern leyte",5,"2,010",12m,0,No Bleaching,Reef Check survey,Water temperature 28 Deg C,Reef Check submitted by Jan Willem van Bochove,,PHL
"29,424",10.0647,125.135,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",7,"2,010",6m,0,No Bleaching,Reef Check survey,water temperature 29 Deg C,Reef Check submitted by jan Willem van Bochove,,PHL
"29,425",10.064,125.135,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",8,"2,010",6m,0,No Bleaching,Reef Check survey,Watre temperature 30 Deg C,Reef check submitted by 'Jan Willem van Bochove,,PHL
"29,426",10.05,125.134,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",9,"2,010",6m,0,No Bleaching,Reef Check survey,"Air temperature 30 deg C, water temperature 29 deg C",Reef Check submitted by 'Jan Willem van Bochove,,PHL
"29,427",10.064,125.135,Asia,Southeast Asia,Philippines,"San fransisco, Southern leyte",5,"2,010",6m,0,No Bleaching,Reef Check survey,Air temperature and water temperature = 28 deg C,Reef Check submitted by Jan Willem van Bochove,,PHL
"29,428",10.065,125.134,Asia,Southeast Asia,Philippines,"san Fransisco, Southern leyte",9,"2,010",9m,0,No Bleaching,Reef Check survey,Air temperature and water temperature 30 deg C,Reef Check submitted by  Jan Willem van Bochove,,PHL
"29,429",10.064,125.0135,Asia,Southeast Asia,Philippines,"San Fransisco, Southern leyte",8,"2,010",12 M,0,No Bleaching,Reef Check survey,Air and water temperature = 30 Deg C,Reef Check submitted by Jan Willem van Bochove,,PHL
"29,311",10.06,125.134,Asia,Southeast Asia,Philippines,Southern Leyte,1,"2,010",12,-1,Severity Unknown,,Water temperature: 27 Deg C,Reef Check submitted by Jan Willem van Bochove. Reef ID: 125.08.04E.10.04.01N,,PHL
"29,312",10.157,125.137,Asia,Southeast Asia,Philippines,Southern Leyte,8,"2,010",9m 30s,-1,Severity Unknown,,"Air temperature; 30 Deg C, water temperature; 30 Deg C","Reef Check , submitted by Jan Willem van Bochove. Reef ID:125.8.16E.10.9.26N",,PHL
"29,317",10.06,125.135,Asia,Southeast Asia,Philippines,Southern Leyte,1,"2,010",12m,-1,Severity Unknown,,water temperature : 27 Deg C,"Reef Check , submitted by Jan Willem van Bochove. Reef ID:125.8.6.7E.10.4.0.9N	",,PHL
"29,324",10.27,166.28,Pacific,Southwest Pacific,Solomon Islands,Temotu,6,"2,010",10m,-1,Severity Unknown,,Air temp : 31; water temp : 30 Deg C,"Reef Check , submitted by Jan Willem van Bochove. Reef ID: 166.16.54.7E.10.16.20S",,SLB
"29,430",-10.276,166.278,Pacific,Southwest Pacific,Solomon Islands,Tuo village,6,"2,010",12m,0,No Bleaching,Reef Check survey,"Air temperature 31 Deg C, water temperature 30 deg C",Reef Check submitted by Irene Llabres Pohl,,SLB
"29,431",-10.284,166.27,Pacific,Southwest Pacific,Solomon Islands,Tuo village,6,"2,010",12m,0,No Bleaching,Reef Check survey,"Air temperature 31 Deg C, water temperature 30 deg C",Reef Check submitted by Irene Llabres Pohl,,SLB
"6,756",-8.151722,115.02525,Asia,Southeast Asia,Indonesia,"Lovina, Bali",4,"2,009",3-13 meters,3,HIGH,"Twim Swim (belt transect width 5 m), @2 minutes on two depths (shallow and moderate)",29-30C,"Jensi Sartin
Reef Check Foundation Indonesia
Contact: jensi@Reef Check.org",,IDN
"6,753",-8.117677,115.34752,Asia,Southeast Asia,Indonesia,"Tejakula-Penuktukan, Bali",5,"2,009",3-13m,3,HIGH,"Twim Swim (belt transect width 5 m), @2 minutes",28-29C,Jensi Sartin (jensi@Reef Check.org) Reef Check Foundation Indonesia,,IDN
"6,762",4.293892,113.8262,Asia,Southeast Asia,Malaysia,Anemone Reef,8,"2,009",12m,1,Low,Reef Check survey,30C,"Peter Heyes
Contact: pjheyes@gmail.com",,MYS
"6,763",4.2923,113.82578,Asia,Southeast Asia,Malaysia,Anemone Reef,8,"2,009",11m,2,Medium,Reef Check Survey,30C,"Peter Heyes
Contact: pjheyes@gmail.com",,MYS
"6,918",2.47,104.51,Asia,Southeast Asia,Malaysia,"Aur Islan, Johor",7,"2,009",3,0,No Bleaching,Reef Check protocol,,"Reef Check, Submitted by Julian Hyde. Site ID (104.30.33.33E.2.28.10.38N).",,MYS
"6,949",2.47,104.53,Asia,Southeast Asia,Malaysia,Aur Island,5,"2,009",3.5,0,No Bleaching,Reef Check Protocol,30 29,"Reef check, Submitted by Julian Hydes. Site ID : 104.31.59.18E.2.28.0.2N",,MYS
"6,950",2.46,104.49,Asia,Southeast Asia,Malaysia,Aur Island,5,"2,009",2.5,0,No Bleaching,Reef check protocol,"Air temp 31 deg C, Water temp 29 Deg C","Reef Check, Submitted by Julian Hydes. Site ID : NSPulauLang",,MYS
"6,952",2.47,104.51,Asia,Southeast Asia,Malaysia,Aur Island,7,"2,009",7.9,0,No Bleaching,Reef check protocol,"Air temp 30 deg C, Water temp  29 Deg C.","Reef Check, Submitted by Julian hydes. Site ID : 104.30.27.88E.2.28.10.18N",,MYS
"6,919",2.44,104.55,Asia,Southeast Asia,Malaysia,"Aur Island, Johor",7,"2,009",10,0,No Bleaching,Reef Check protocol,"Air temp : 30 deg C, Water temp : 29 Deg C","Reef Check, Submitted by Julian hyde. Site ID:  NSPinang",,MYS
"6,920",2.46,104.49,Asia,Southeast Asia,Malaysia,"Aur Island, Johor",7,"2,009",9.4,0,No Bleaching,Reef Check Protocol,"Air temp : 30 deg C, water temp : 29 Deg C.","Reef Check, submitted by Julian Hyde. Site ID : NSPulauLang",,MYS
"6,771",4.343267,113.89825,Asia,Southeast Asia,Malaysia,Eve's Garden,9,"2,009",5m,1,Low,Reef Check methodology,30C,"Peter Heyes
pjheyes@gmail.com",,MYS
"6,916",6.9,117.52,Asia,Southeast Asia,Malaysia,"Kudat, Sabah",7,"2,009",5,0,No Bleaching,Reef Check Survey,"Air temp 320 deg C, water temp 30 Deg C","Reef Check, Submitted by Julian Hyde. Site ID : 117.30.58.2E.6.53.44.5N",,MYS
